model,roc_auc,pr_auc,accuracy@0.5,precision@0.5,recall@0.5,f1@0.5,support
"Logistic (L2, balanced)",0.9589705480865586,0.9739735651447512,0.8976,0.9408735456799542,0.8735611829289889,0.9059687786960514,10000
Majority Baseline,0.5,0.5647,0.5647,0.5647,1.0,0.7217997060139324,10000
